Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
13-December-2021,406.40,406.40,369.00,373.50,378.451475595913734392,3524,317,1333663.00,1848,52.44,37.40,-32.90
10-December-2021,373.25,378.80,370.00,374.75,373.876272755322431348,6482,561,2423466.00,2437,37.60,8.80,1.50
9-December-2021,381.00,388.00,376.15,377.30,380.327973748974569319,6095,338,2318099.00,3817,62.63,11.85,-3.70
8-December-2021,385.95,385.95,376.00,379.65,380.393387928419775553,6594,422,2508314.00,3385,51.33,9.95,-6.30
7-December-2021,378.00,378.80,365.15,372.85,372.377447289156626506,5312,300,1978069.00,2474,46.57,13.65,-5.15
6-December-2021,386.65,386.65,363.65,365.65,374.069673510602490743,5942,507,2222722.00,2844,47.86,23.00,-21.00
3-December-2021,391.90,394.20,384.00,386.95,388.775470890410958904,4672,309,1816359.00,1821,38.98,10.20,-4.95
2-December-2021,393.10,399.00,382.50,394.45,390.571084137013634852,12028,796,4697789.00,6013,49.99,16.50,1.35
1-December-2021,401.45,401.45,390.00,392.65,395.092932448262397500,2561,215,1011833.00,1435,56.03,11.45,-8.80
30-November-2021,415.75,415.75,386.85,390.05,400.235971725281438170,11459,1029,4586304.00,7075,61.74,28.90,-25.70
29-November-2021,428.00,428.70,395.25,407.55,409.204606404795709102,12678,680,5187896.00,6412,50.58,33.45,-20.45
26-November-2021,428.00,428.00,401.20,410.65,409.172151407938738913,20633,1012,8442449.00,10616,51.45,26.80,-17.35
25-November-2021,423.70,428.65,409.75,420.70,418.042463286228872263,14436,934,6034861.00,4147,28.73,18.90,-3.00
24-November-2021,422.00,438.20,415.20,423.70,427.347346752058554437,21860,1376,9341813.00,11447,52.36,23.00,1.70
23-November-2021,403.00,418.00,386.10,414.50,405.283986175115207373,13888,862,5628584.00,8524,61.38,31.90,11.50
22-November-2021,390.00,401.20,382.00,387.40,393.075007557436517533,26464,940,10402337.00,10377,39.21,19.20,-2.60
18-November-2021,385.00,385.00,356.70,364.75,363.590056564453706460,3359,167,1221299.00,1231,36.65,28.30,-20.25
17-November-2021,367.60,372.95,360.00,368.65,366.583725661145015983,17205,1113,6307073.00,6689,38.88,12.95,1.05
16-November-2021,380.40,381.25,367.30,371.05,374.600855745721271393,6544,478,2451388.00,2933,44.82,13.95,-9.35
15-November-2021,394.00,395.90,356.65,377.20,377.409462668191012224,11371,637,4291523.00,7725,67.94,39.25,-16.80
12-November-2021,383.00,392.70,376.70,388.10,385.894513099357390014,10115,493,3903323.00,4909,48.53,16.00,5.10
11-November-2021,391.95,392.35,370.00,375.05,382.084867489378919684,19772,1720,7554582.00,15690,79.35,22.35,-16.90
10-November-2021,374.80,391.20,362.00,388.70,382.159745624524404826,18398,786,7030975.00,13449,73.10,29.20,13.90
9-November-2021,369.00,375.00,357.55,372.65,362.868706182281708094,14121,1137,5124069.00,11450,81.08,17.45,3.65
8-November-2021,365.90,373.05,354.85,359.80,361.134058293965594081,11219,929,4051563.00,6440,57.40,18.20,-6.10
4-November-2021,362.40,362.40,350.00,357.05,356.444219977553310886,8910,641,3175918.00,7191,80.71,12.40,-5.35
3-November-2021,373.00,373.95,340.00,349.05,359.990829567377573403,37839,1429,13621693.00,21634,57.17,33.95,-23.95
2-November-2021,342.15,342.15,342.15,342.15,342.125000000000000000,8,3,2737.00,8,100.00,0.00,0.00
