Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
9-November-2020,241.35,247.85,235.00,235.95,244.044563758389261744,3725,381,909066.00,2031,54.52,12.85,-5.40
6-November-2020,235.40,243.10,235.00,241.75,238.837145049884881043,6515,583,1556024.00,3279,50.33,8.10,6.35
5-November-2020,222.05,233.00,222.05,230.70,227.118476106584452763,4541,362,1031345.00,2820,62.10,10.95,8.65
4-November-2020,217.10,223.15,217.10,221.90,218.534057255676209279,1013,72,221375.00,616,60.81,6.05,4.80
3-November-2020,221.75,223.00,214.40,214.60,218.809356501814015657,52370,1393,11459046.00,50654,96.72,8.60,-7.15
2-November-2020,222.05,223.45,221.00,221.85,221.946491670873296314,1981,246,439676.00,1789,90.31,2.45,-0.20
30-October-2020,220.35,222.90,220.30,221.10,220.871025366202215076,2799,710,618218.00,2541,90.78,2.60,0.75
29-October-2020,220.75,222.50,219.95,220.05,220.390831460674157303,11125,1222,2451848.00,10529,94.64,2.55,-0.70
28-October-2020,220.20,224.25,220.20,222.00,222.355920831935592083,2981,110,662843.00,2343,78.60,4.05,1.80
27-October-2020,221.10,221.75,219.90,220.10,220.325880758807588075,2952,220,650402.00,2199,74.49,1.85,-1.00
26-October-2020,225.25,226.50,222.10,224.30,224.048260381593714927,2673,333,598881.00,2392,89.49,4.40,-0.95
23-October-2020,223.15,225.00,222.00,223.70,222.707048458149779735,1362,44,303327.00,759,55.73,3.00,0.55
22-October-2020,220.90,223.40,220.90,221.95,221.715367965367965367,924,79,204865.00,752,81.39,2.50,1.05
21-October-2020,222.45,223.00,219.70,220.60,221.543099273607748184,4130,497,914973.00,2859,69.23,3.30,-1.85
20-October-2020,218.35,222.95,218.05,222.75,219.583385777218376337,3178,237,697836.00,2725,85.75,4.90,4.40
19-October-2020,218.00,220.35,216.00,219.50,219.072757111597374179,1828,165,400465.00,509,27.84,4.35,1.50
16-October-2020,216.10,219.25,211.65,218.70,216.295636830285530959,6234,205,1348387.00,4560,73.15,7.60,2.60
15-October-2020,215.90,217.15,215.50,215.50,215.684045226130653266,1592,185,343369.00,1484,93.22,1.65,-0.40
14-October-2020,215.05,216.00,214.30,214.90,215.120714491501008354,3471,318,746684.00,2064,59.46,1.70,-0.15
13-October-2020,218.00,218.00,214.15,214.80,215.203035060177917320,5733,223,1233759.00,5238,91.37,3.85,-3.20
12-October-2020,217.00,219.80,216.45,218.10,218.185222333667669675,2991,96,652592.00,2674,89.40,3.35,1.10
9-October-2020,217.95,219.40,215.35,217.60,217.367227219397731716,2557,223,555808.00,1532,59.91,4.05,-0.35
8-October-2020,221.45,223.60,215.20,216.30,218.050724637681159420,1380,164,300910.00,1078,78.12,8.40,-5.15
7-October-2020,224.05,224.05,220.00,220.30,221.532121212121212121,2475,307,548292.00,1727,69.78,4.05,-3.75
6-October-2020,225.00,230.00,224.05,224.50,226.267370761534185658,1799,114,407055.00,912,50.69,5.95,-0.50
5-October-2020,223.75,228.75,221.65,225.40,223.780724915986557849,8332,651,1864541.00,5675,68.11,7.10,1.65
1-October-2020,222.85,226.75,221.85,223.10,223.187885586090858104,1783,143,397944.00,1155,64.78,4.90,0.25
30-September-2020,221.55,223.00,219.70,220.95,221.067121729237770193,879,129,194318.00,506,57.57,3.30,-0.60
29-September-2020,222.95,223.60,217.40,218.75,220.404847396768402154,1114,105,245531.00,754,67.68,6.20,-4.20
28-September-2020,223.50,227.00,222.20,222.90,224.548494983277591973,598,57,134280.00,460,76.92,4.80,-0.60
25-September-2020,220.10,222.35,217.60,220.80,220.041044776119402985,2948,269,648681.00,2230,75.64,4.75,0.70
24-September-2020,219.90,219.90,213.05,214.85,215.493797381116471399,2902,284,625363.00,2226,76.71,6.85,-5.05
23-September-2020,218.50,221.65,217.25,218.70,218.785611510791366906,2085,176,456168.00,1296,62.16,4.40,0.20
22-September-2020,222.55,222.70,212.00,214.80,217.102695575739818341,6826,623,1481943.00,4021,58.91,10.70,-7.75
21-September-2020,236.00,239.10,220.00,223.15,227.792664670658682634,8016,404,1825986.00,5157,64.33,19.10,-12.85
18-September-2020,234.90,242.60,234.15,236.00,238.787406597412064880,10974,589,2620453.00,4782,43.58,8.45,1.10
17-September-2020,242.75,246.45,232.20,233.20,241.572557921102066374,12776,707,3086331.00,5222,40.87,14.25,-9.55
16-September-2020,230.00,244.70,229.70,241.75,238.282199825410681691,12601,836,3002594.00,9092,72.15,15.00,11.75
15-September-2020,231.55,235.35,228.15,229.70,232.373077396333210286,8127,468,1888496.00,6603,81.25,7.20,-1.85
14-September-2020,222.05,230.00,222.05,228.35,228.445968860798520117,6487,369,1481929.00,3699,57.02,7.95,6.30
11-September-2020,222.00,228.00,222.00,225.25,224.034456549277932607,3947,216,884264.00,2461,62.35,6.00,3.25
10-September-2020,224.45,229.50,217.20,222.35,222.852246763137852246,2626,285,585210.00,1485,56.55,12.30,-2.10
9-September-2020,226.00,226.85,221.15,221.65,224.104421104054714215,8188,441,1834967.00,6122,74.77,5.70,-4.35
8-September-2020,231.05,239.80,225.00,227.95,234.971216431223181138,20741,994,4873538.00,11154,53.78,14.80,-3.10
7-September-2020,225.00,235.55,225.00,230.80,230.151301427371956339,5955,278,1370551.00,3555,59.70,10.55,5.80
4-September-2020,229.50,237.15,229.00,232.05,234.713269230769230769,10400,581,2441018.00,7910,76.06,8.15,2.55
3-September-2020,228.05,232.20,228.05,229.05,230.496574107464839523,2773,269,639167.00,2394,86.33,4.15,1.00
2-September-2020,228.20,235.00,226.30,229.45,229.937638376383763837,2710,235,623131.00,1529,56.42,8.70,1.25
1-September-2020,230.00,232.20,223.00,228.10,227.267711394058112961,9189,478,2088363.00,5586,60.79,9.20,-1.90
31-August-2020,236.00,242.35,221.70,229.80,230.837838739821118675,29964,1211,6916825.00,18418,61.47,20.65,-6.20
28-August-2020,238.35,246.05,232.00,238.90,241.884965222043873729,13083,577,3164581.00,8195,62.64,14.05,0.55
27-August-2020,251.95,251.95,238.30,240.80,244.209367419294644523,21436,869,5234872.00,16122,75.21,13.65,-11.15
26-August-2020,249.65,254.45,244.45,248.65,250.613275819043884353,28051,709,7029953.00,17372,61.93,10.00,-1.00
25-August-2020,254.00,256.80,242.00,246.40,247.140729980025422189,11014,467,2722008.00,6097,55.36,14.80,-7.60
24-August-2020,251.10,266.80,250.35,251.95,258.470799492981550161,42602,1823,11011373.00,18315,42.99,16.45,0.85
21-August-2020,236.55,260.00,236.55,250.70,251.883605802440709187,78174,2900,19690749.00,42140,53.91,23.45,14.15
20-August-2020,224.00,239.40,221.00,236.00,234.092961876832844574,34100,1407,7982570.00,19880,58.30,18.40,12.00
19-August-2020,222.00,226.35,222.00,224.00,224.580267426220428831,12639,502,2838470.00,9651,76.36,4.35,2.00
18-August-2020,214.10,223.10,213.35,221.30,218.098827135812341729,15006,661,3272791.00,10465,69.74,9.75,7.20
17-August-2020,215.25,215.55,209.45,211.95,212.386603773584905660,5300,315,1125649.00,4192,79.09,6.10,-3.30
14-August-2020,219.00,221.05,210.40,212.10,215.411654135338345864,3192,244,687594.00,1824,57.14,10.65,-6.90
13-August-2020,218.00,218.00,213.00,217.05,215.940580377706126209,8684,419,1875228.00,6675,76.87,5.00,-0.95
12-August-2020,213.05,217.95,210.30,212.40,213.288729937194696441,5732,349,1222571.00,3743,65.30,7.65,-0.65
11-August-2020,209.20,214.80,206.85,212.70,212.577592929555497790,11541,645,2453358.00,8227,71.28,7.95,3.50
10-August-2020,214.30,215.40,208.00,208.90,211.149040026033192320,3073,289,648861.00,2281,74.23,7.40,-5.40
7-August-2020,203.45,219.10,202.30,209.60,212.513156919427766659,13491,682,2867015.00,7287,54.01,16.80,6.15
6-August-2020,203.60,206.50,200.10,203.45,203.196003401360544217,2352,173,477917.00,1274,54.17,6.40,-0.15
5-August-2020,202.20,207.80,200.85,202.00,202.743592703763564996,8662,476,1756165.00,6223,71.84,6.95,-0.20
4-August-2020,202.20,202.20,198.60,198.85,199.837565497783151954,2481,161,495797.00,1562,62.96,3.60,-3.35
3-August-2020,201.00,207.40,194.00,200.55,198.951104972375690607,7240,307,1440406.00,4567,63.08,13.40,-0.45
31-July-2020,202.20,203.20,195.05,196.30,197.039281967595290826,8579,823,1690400.00,6827,79.58,8.15,-5.90
30-July-2020,205.25,206.70,199.45,202.55,203.399121522693997071,6830,516,1389216.00,3987,58.37,7.25,-2.70
29-July-2020,208.10,211.50,204.00,205.00,207.810906902964664697,18282,701,3799199.00,9411,51.48,7.50,-3.10
28-July-2020,211.00,214.00,194.00,207.55,207.117237776849143334,47860,2063,9912631.00,23449,48.99,20.00,-3.45
27-July-2020,225.05,228.00,221.50,222.85,224.664373566812591202,9594,376,2155430.00,3840,40.02,6.50,-2.20
24-July-2020,229.85,229.85,220.50,222.45,222.225247940830391662,11898,607,2644036.00,6866,57.71,9.35,-7.40
23-July-2020,225.80,227.20,223.80,224.50,224.980492948464478713,7587,372,1706927.00,5311,70.00,3.40,-1.30
22-July-2020,227.50,227.55,225.00,225.85,226.020907700152983171,1961,371,443227.00,1235,62.98,2.55,-1.65
21-July-2020,227.95,230.40,224.65,226.15,227.650446300028793550,6946,510,1581260.00,4615,66.44,5.75,-1.80
20-July-2020,224.30,228.00,224.30,226.25,225.859345618653629183,5318,299,1201120.00,3645,68.54,3.70,1.95
17-July-2020,225.00,227.50,223.40,224.25,225.402796271637816245,3004,227,677110.00,1493,49.70,4.10,-0.75
16-July-2020,224.10,224.45,221.35,223.75,222.995489954899548995,4878,316,1087772.00,2711,55.58,3.10,-0.35
15-July-2020,241.95,241.95,223.80,224.90,231.020119248796352389,31363,1686,7245484.00,11753,37.47,18.15,-17.05
14-July-2020,226.90,227.50,220.50,223.10,224.001058901389808074,7555,503,1692328.00,4831,63.94,7.00,-3.80
13-July-2020,232.00,233.20,225.80,228.50,229.006928877114326472,4907,501,1123737.00,2404,48.99,7.40,-3.50
10-July-2020,235.55,239.40,225.40,227.35,230.622785519221343043,14281,1000,3293524.00,6933,48.55,14.00,-8.20
9-July-2020,234.90,252.00,233.15,234.65,243.478466974531206269,57168,3158,13919177.00,20741,36.28,18.85,-0.25
8-July-2020,227.40,234.95,223.35,232.75,231.362154790317081486,14665,857,3392926.00,9220,62.87,11.60,5.35
7-July-2020,225.00,229.00,223.85,226.70,226.353272703983604457,7807,479,1767140.00,4405,56.42,5.15,1.70
6-July-2020,227.55,229.80,223.10,224.25,226.612707405908539053,2471,214,559960.00,1511,61.15,6.70,-3.30
3-July-2020,223.00,225.00,220.00,224.55,222.844837587006960556,3448,322,768369.00,1966,57.02,5.00,1.55
2-July-2020,226.00,231.00,226.00,227.05,228.601410934744268077,8505,780,1944255.00,5034,59.19,5.00,1.05
1-July-2020,218.90,229.55,217.85,226.20,223.553909100962070109,9043,556,2021598.00,5556,61.44,11.70,7.30
30-June-2020,224.35,226.65,216.15,217.50,221.575028206092515983,2659,319,589168.00,1965,73.90,10.50,-6.85
29-June-2020,226.00,229.05,222.00,224.00,225.049635267998731366,6306,603,1419163.00,4002,63.46,7.05,-2.00
26-June-2020,228.90,231.95,226.10,226.95,228.868609406952965235,5868,621,1343001.00,3069,52.30,5.85,-1.95
25-June-2020,222.05,228.45,221.40,226.00,225.431189991271457666,6874,351,1549614.00,5110,74.34,7.05,3.95
24-June-2020,236.00,238.80,224.70,226.40,231.979318734793187347,18084,1405,4195114.00,10031,55.47,14.10,-9.60
23-June-2020,229.05,238.00,225.90,234.00,233.320857650342552651,23646,1214,5517105.00,13360,56.50,12.10,4.95
22-June-2020,229.70,231.00,227.00,228.00,228.938993064474698176,7786,766,1782519.00,5747,73.81,4.00,-1.70
19-June-2020,226.55,230.95,224.00,227.00,227.946044007490636704,8544,996,1947571.00,4258,49.84,6.95,0.45
18-June-2020,208.05,235.00,208.05,225.85,227.614209791711402190,37256,2542,8479995.00,15410,41.36,26.95,17.80
17-June-2020,204.60,218.45,204.60,215.20,215.192848669716997119,5901,446,1269853.00,3313,56.14,13.85,10.60
16-June-2020,224.15,225.55,213.90,215.45,216.558293604111200544,16151,672,3497633.00,13612,84.28,11.65,-8.70
15-June-2020,212.05,225.50,209.90,220.40,221.568749018992308899,12742,845,2823229.00,3272,25.68,15.60,8.35
