Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
16-December-2021,20.85,21.35,19.35,19.35,20.282059522127164613,1471856,4660,29852271.00,751860,51.08,2.00,-1.50
15-December-2021,20.15,20.35,19.50,20.35,20.278068148247980058,1662053,1851,33703224.00,1237773,74.47,0.85,0.20
14-December-2021,18.65,19.40,17.80,19.40,19.164850710822851153,488448,1284,9361033.00,395438,80.96,1.60,0.75
13-December-2021,17.75,18.50,17.65,18.50,18.382149451290950980,865486,1749,15909493.00,670338,77.45,0.85,0.75
10-December-2021,18.25,18.25,17.50,17.65,17.871237840375977029,240653,1195,4300767.00,157820,65.58,0.75,-0.60
9-December-2021,17.65,18.30,17.60,17.90,18.004978125719548699,217150,1091,3909781.00,132201,60.88,0.70,0.25
8-December-2021,17.30,19.00,17.30,17.55,17.801085639168420198,1676616,4805,29845585.00,1156114,68.96,1.70,0.25
7-December-2021,18.20,18.20,18.20,18.20,18.199985169805724454,53944,308,981780.00,53944,100.00,0.00,0.00
6-December-2021,20.75,20.75,19.15,19.15,19.436335153161390958,743660,1308,14454025.00,578517,77.79,1.60,-1.60
3-December-2021,20.15,20.15,19.50,20.15,20.142244011210489579,846707,1209,17054579.00,805604,95.15,0.65,0.00
2-December-2021,18.90,19.20,18.65,19.20,19.131413992790102326,687111,1114,13145405.00,590050,85.87,0.55,0.30
1-December-2021,18.20,18.30,16.60,18.30,18.039265287232196231,2592850,3029,46773109.00,1631409,62.92,1.70,0.10
30-November-2021,17.00,17.44,16.85,17.44,17.329105478716022673,562066,1176,9740101.00,415385,73.90,0.59,0.44
29-November-2021,15.51,16.61,14.50,16.61,16.123352891947836401,1279743,3884,20633748.00,973132,76.04,2.11,1.10
26-November-2021,14.70,15.90,13.81,15.10,15.070405087738121945,2255462,4866,33990726.00,1202953,53.34,2.09,0.40
25-November-2021,13.40,14.52,12.95,14.50,14.242701492552564274,978659,1861,13938748.00,683460,69.84,1.57,1.10
24-November-2021,13.94,13.94,13.11,13.20,13.327371253456910082,133790,461,1783069.00,58181,43.49,0.83,-0.74
23-November-2021,12.71,13.32,12.48,13.17,13.035131834183490193,97433,465,1270052.00,53000,54.40,0.84,0.46
22-November-2021,13.34,13.34,12.45,12.71,12.699607019445761907,147590,485,1874335.00,100469,68.07,0.89,-0.63
18-November-2021,13.50,13.50,12.72,13.01,13.063962805769332370,113566,429,1483622.00,47695,42.00,0.78,-0.49
17-November-2021,13.65,13.65,13.10,13.24,13.378915493834848673,128464,927,1718709.00,73559,57.26,0.55,-0.41
16-November-2021,13.26,13.75,13.10,13.33,13.344767123939040916,168244,1027,2245177.00,98387,58.48,0.65,0.07
15-November-2021,13.41,13.65,13.18,13.32,13.347611057695328946,159129,991,2123992.00,67440,42.38,0.47,-0.09
12-November-2021,13.25,13.55,13.25,13.36,13.388129412015611337,93778,818,1255512.00,60948,64.99,0.30,0.11
11-November-2021,13.30,13.52,13.00,13.25,13.294528094013955196,89859,379,1194633.00,41809,46.53,0.52,-0.05
10-November-2021,13.51,13.72,13.10,13.32,13.482857425155617033,141694,944,1910440.00,99561,70.26,0.62,-0.19
9-November-2021,14.00,14.00,13.52,13.60,13.627132019157896381,127989,1016,1744123.00,76867,60.06,0.48,-0.40
8-November-2021,14.11,14.30,13.40,13.74,13.817881621351731650,176248,1130,2435374.00,122477,69.49,0.90,-0.37
4-November-2021,13.90,14.35,13.90,14.05,14.119903102946118516,71416,394,1008387.00,46812,65.55,0.45,0.15
3-November-2021,13.74,14.00,13.30,13.53,13.809491739739959866,291032,1246,4019004.00,176952,60.80,0.70,-0.21
2-November-2021,13.40,13.56,13.40,13.48,13.495198793746528053,63005,407,850265.00,38451,61.03,0.16,0.08
1-November-2021,13.39,13.39,12.71,13.29,13.245588627923722299,123601,885,1637168.00,84401,68.28,0.68,-0.10
29-October-2021,12.80,13.15,12.74,12.92,12.972664740327818549,39107,349,507322.00,24900,63.67,0.41,0.12
28-October-2021,13.49,13.49,12.74,12.85,12.934318579795906044,66244,425,856821.00,43851,66.20,0.75,-0.64
27-October-2021,13.50,13.50,13.06,13.21,13.234902151484484866,76087,361,1007004.00,34274,45.05,0.44,-0.29
26-October-2021,13.20,13.37,13.01,13.24,13.221513458934023576,124787,931,1649873.00,48145,38.58,0.36,0.04
25-October-2021,13.85,13.85,12.40,13.01,12.868123699078203984,127794,573,1644469.00,67695,52.97,1.45,-0.84
22-October-2021,13.67,13.79,13.20,13.47,13.529050376340544780,167003,963,2259392.00,118560,70.99,0.59,-0.20
21-October-2021,13.08,13.85,13.08,13.61,13.678568292162741973,159418,938,2180610.00,90111,56.52,0.77,0.53
20-October-2021,14.22,14.22,13.64,13.71,13.746502815343622743,318256,1005,4374907.00,256193,80.50,0.58,-0.51
19-October-2021,14.44,14.44,13.88,13.99,14.065719085153120558,116085,456,1632819.00,90415,77.89,0.56,-0.45
18-October-2021,14.00,14.39,13.99,14.12,14.128673268119787338,199754,693,2822259.00,121148,60.65,0.40,0.12
14-October-2021,14.19,14.45,13.85,13.94,14.076562788250647389,292714,1342,4120407.00,183043,62.53,0.60,-0.25
13-October-2021,14.03,14.22,13.80,13.96,14.018598342999572090,413639,1242,5798639.00,350510,84.74,0.42,-0.07
12-October-2021,14.49,14.49,13.80,14.01,14.033179168739596960,162813,1005,2284784.00,89299,54.85,0.69,-0.48
11-October-2021,14.55,14.55,13.90,14.01,14.181663618804209722,272322,1464,3861979.00,174557,64.10,0.65,-0.54
8-October-2021,13.79,14.65,13.78,14.21,14.149752641270899475,491998,1515,6961650.00,265562,53.98,0.87,0.42
7-October-2021,13.97,14.00,13.60,13.78,13.803562149474099159,111618,411,1540726.00,62614,56.10,0.40,-0.19
6-October-2021,14.08,14.30,13.50,13.72,13.903640583306150168,374006,1139,5200045.00,234391,62.67,0.80,-0.36
5-October-2021,13.75,14.05,13.65,13.85,13.944727999725959996,321121,1101,4477945.00,215875,67.23,0.40,0.10
4-October-2021,13.63,14.07,13.63,13.75,13.797868349249658935,175920,1076,2427321.00,89831,51.06,0.44,0.12
1-October-2021,14.00,14.00,13.68,13.81,13.895955916031879135,141911,759,1971989.00,68730,48.43,0.32,-0.19
30-September-2021,13.99,14.20,13.73,13.81,13.924731182795698924,152334,777,2121210.00,114056,74.87,0.47,-0.18
29-September-2021,13.71,14.07,13.60,13.92,13.901720759989672402,197529,484,2745993.00,132234,66.94,0.47,0.21
28-September-2021,13.81,14.04,13.73,13.88,13.911323542428389539,146871,866,2043170.00,91909,62.58,0.31,0.07
27-September-2021,13.94,14.05,13.75,13.80,13.892674097173718434,101653,586,1412232.00,65598,64.53,0.30,-0.14
24-September-2021,13.70,13.95,13.55,13.68,13.756701789960290159,165702,825,2279513.00,122902,74.17,0.40,-0.02
23-September-2021,13.80,14.07,13.52,13.65,13.766709907572563645,123340,762,1697986.00,62083,50.33,0.55,-0.15
22-September-2021,13.40,13.94,13.37,13.61,13.617836376046517655,115741,755,1576142.00,76819,66.37,0.57,0.21
21-September-2021,13.74,13.87,13.00,13.42,13.315140184164231508,135857,864,1808955.00,78088,57.48,0.87,-0.32
20-September-2021,14.25,14.62,13.53,13.60,14.001150168931061749,153021,652,2142470.00,85819,56.08,1.09,-0.65
17-September-2021,15.33,15.40,14.12,14.24,14.532314953089910055,438605,1579,6373946.00,293337,66.88,1.28,-1.09
